LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2015
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210409 FORMOSA DA SERRA NEGRA";-;-;-;-;-;-;-;-;-;-;1;-;1
"210420 FORTUNA";-;-;-;1;-;-;-;-;-;-;-;-;1
"210455 GOVERNADOR EDISON LOBAO";-;-;1;-;-;-;-;1;1;-;-;-;3
"210480 GRAJAU";1;1;-;1;-;-;-;2;3;1;2;1;12
"210515 IGARAPE DO MEIO";-;-;1;-;-;-;-;-;-;-;-;1;2
"210530 IMPERATRIZ";2;-;5;4;6;1;3;3;3;1;-;2;30
"210540 ITAPECURU MIRIM";-;2;-;1;-;-;-;-;-;-;-;-;3
"210570 LAGO DA PEDRA";-;-;-;-;-;-;-;-;1;1;-;-;2
"210600 LIMA CAMPOS";1;-;-;-;-;-;-;-;1;-;-;-;2
"210660 MATOES";-;-;1;-;-;-;-;-;-;-;-;-;1
"210690 MONCAO";-;-;-;-;-;2;-;-;2;-;-;-;4
"210750 PACO DO LUMIAR";-;-;-;-;-;-;-;-;1;-;-;-;1
"210770 PARAIBANO";-;-;-;-;-;-;-;-;-;1;-;-;1
"210780 PARNARAMA";-;-;-;-;-;-;-;-;1;-;-;-;1
"210805 PAULINO NEVES";-;1;-;-;-;-;-;-;-;-;-;-;1
"210820 PEDREIRAS";1;1;-;1;-;2;1;-;-;-;-;-;6
"210845 PERITORO";1;-;1;-;1;-;1;-;1;-;-;-;5
"210850 PINDARE-MIRIM";1;-;-;-;1;-;-;-;-;-;-;-;2
"210880 PIRAPEMAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"210890 POCAO DE PEDRAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210900 PORTO FRANCO";-;-;-;-;1;-;2;-;1;1;-;-;5
"210910 PRESIDENTE DUTRA";-;-;-;-;-;-;-;1;1;-;-;3;5
"210950 RIACHAO";-;1;-;1;-;3;-;-;-;1;-;-;6
"210955 RIBAMAR FIQUENE";-;-;-;-;-;-;1;-;-;-;-;-;1
"210990 SANTA INES";1;-;-;-;1;-;-;1;1;1;-;-;5
"211000 SANTA LUZIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"211065 SAO DOMINGOS DO AZEITAO";-;-;-;-;-;-;-;-;-;1;-;-;1
"211070 SAO DOMINGOS DO MARANHAO";-;-;-;-;-;-;-;-;-;1;-;-;1
"211105 SAO JOAO DO PARAISO";3;-;-;-;-;-;-;-;-;-;-;-;3
"211107 SAO JOAO DO SOTER";-;-;-;-;-;-;-;-;-;1;-;-;1
"211120 SAO JOSE DE RIBAMAR";-;2;-;1;-;-;-;1;1;1;1;-;7
"211130 SAO LUIS";20;15;10;15;18;26;34;30;25;29;21;13;256
"211150 SAO MATEUS DO MARANHAO";-;-;-;-;-;-;1;1;-;-;2;-;4
"211153 SAO PEDRO DA AGUA BRANCA";-;-;-;1;-;-;-;-;-;-;1;-;2
"211180 SITIO NOVO";-;-;-;1;-;-;-;-;-;-;-;-;1
"211210 TIMBIRAS";-;1;-;-;-;3;3;2;2;1;-;-;12
"211223 TRIZIDELA DO VALE";-;-;-;-;-;-;-;-;-;1;-;-;1
"211230 TUNTUM";-;-;-;-;-;-;-;-;-;-;2;-;2
"211250 TUTOIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"211270 VARGEM GRANDE";-;-;-;-;-;-;-;1;-;-;-;-;1
"211285 VILA NOVA DOS MARTIRIOS";-;-;-;-;-;-;1;-;-;-;-;-;1
"Total";42;36;25;34;32;53;67;56;59;50;39;25;518
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
