LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210780 PARNARAMA";-;-;-;-;-;-;-;-;-;1;-;-;1
"210790 PASSAGEM FRANCA";-;1;1;1;2;1;-;1;-;-;-;-;7
"210820 PEDREIRAS";1;1;-;-;-;-;-;-;-;-;-;-;2
"210845 PERITORO";1;1;-;-;-;-;-;-;1;-;-;-;3
"210860 PINHEIRO";-;-;-;-;-;1;-;-;1;1;-;-;3
"210900 PORTO FRANCO";-;-;-;1;-;2;-;-;-;-;-;-;3
"210910 PRESIDENTE DUTRA";1;-;2;-;-;1;4;2;1;-;-;-;11
"210950 RIACHAO";1;-;-;-;-;-;-;2;-;-;-;-;3
"210990 SANTA INES";-;4;2;-;2;-;2;1;1;-;-;-;12
"211000 SANTA LUZIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"211010 SANTA QUITERIA DO MARANHAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"211020 SANTA RITA";2;-;-;-;-;-;-;-;-;-;-;-;2
"211030 SANTO ANTONIO DOS LOPES";-;-;-;1;-;-;1;-;-;-;-;-;2
"211040 SAO BENEDITO DO RIO PRETO";-;1;-;-;-;-;-;-;-;-;1;-;2
"211070 SAO DOMINGOS DO MARANHAO";1;-;-;-;-;1;-;1;-;-;-;-;3
"211120 SAO JOSE DE RIBAMAR";1;-;-;-;-;-;1;1;-;-;-;-;3
"211130 SAO LUIS";23;21;7;22;19;7;21;9;14;17;11;9;180
"211150 SAO MATEUS DO MARANHAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"211153 SAO PEDRO DA AGUA BRANCA";-;1;-;-;-;-;-;-;-;-;-;-;1
"211220 TIMON";-;-;-;-;-;-;1;-;-;-;-;-;1
"211230 TUNTUM";-;-;-;-;-;-;1;-;-;-;-;1;2
"211270 VARGEM GRANDE";-;-;-;-;-;-;1;-;-;-;-;-;1
"Total";44;42;27;44;38;30;55;37;29;32;26;21;425
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
