LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"211070 SAO DOMINGOS DO MARANHAO";-;-;-;-;-;-;-;1;-;-;-;-;1
"211105 SAO JOAO DO PARAISO";-;-;1;1;-;-;-;-;-;-;-;-;2
"211120 SAO JOSE DE RIBAMAR";-;-;-;-;-;-;-;1;-;-;-;-;1
"211130 SAO LUIS";14;14;7;7;9;6;10;19;9;11;14;13;133
"211150 SAO MATEUS DO MARANHAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"211210 TIMBIRAS";-;-;-;-;2;-;-;1;-;-;-;-;3
"211230 TUNTUM";-;-;-;-;-;-;-;-;-;-;2;-;2
"211400 ZE DOCA";1;-;-;-;1;-;-;-;1;-;-;-;3
"Total";26;25;24;15;25;21;25;39;16;23;28;20;287
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
