LEISHMANIOSE VISCERAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Maranhão
Casos confirmados por Município de notificação e Mês Notificação
Período:2017
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210950 RIACHAO";1;-;-;-;-;-;-;1;-;-;-;-;2
"210990 SANTA INES";1;5;2;3;5;4;4;-;3;2;-;-;29
"211000 SANTA LUZIA";-;-;-;1;-;-;1;-;-;-;-;-;2
"211030 SANTO ANTONIO DOS LOPES";-;-;-;-;-;-;-;-;-;1;-;-;1
"211060 SAO BERNARDO";-;-;-;-;-;-;-;-;-;1;-;-;1
"211110 SAO JOAO DOS PATOS";2;-;-;-;1;-;1;-;-;-;-;-;4
"211120 SAO JOSE DE RIBAMAR";-;-;1;3;2;-;-;2;3;-;-;-;11
"211130 SAO LUIS";19;17;13;20;36;27;24;34;27;11;14;17;259
"211160 SAO RAIMUNDO DAS MANGABEIRAS";1;-;-;-;-;-;-;-;-;1;-;-;2
"211167 SAO ROBERTO";-;-;-;-;-;1;-;-;-;-;-;-;1
"211195 SUCUPIRA DO RIACHAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"211210 TIMBIRAS";-;2;-;-;-;-;1;-;-;-;-;-;3
"211220 TIMON";-;-;-;1;-;1;3;-;-;-;-;-;5
"211230 TUNTUM";1;-;-;-;-;-;-;-;-;-;-;-;1
"211290 VITORIA DO MEARIM";-;-;-;-;-;-;-;1;-;-;-;-;1
"211300 VITORINO FREIRE";-;-;-;-;-;-;-;-;1;-;-;-;1
"Total";49;61;48;64;90;87;62;76;61;51;35;42;726
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023
 
