LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Amazonas
Casos confirmados por Município de notificação e Mês Notificação
Período:2014
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130356 RIO PRETO DA EVA";6;11;31;35;6;3;2;1;1;-;10;17;123
"130360 SANTA ISABEL DO RIO NEGRO";-;-;1;3;3;2;3;4;-;1;-;-;17
"130370 SANTO ANTONIO DO ICA";-;-;1;2;-;-;1;-;-;-;-;-;4
"130380 SAO GABRIEL DA CACHOEIRA";-;1;-;-;2;-;2;-;-;-;-;-;5
"130390 SAO PAULO DE OLIVENCA";-;1;1;-;-;-;-;-;-;-;-;-;2
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;1;1;-;-;-;-;-;-;-;2
"130400 SILVES";-;-;2;1;-;-;1;-;-;-;2;-;6
"130406 TABATINGA";-;2;2;-;-;-;1;-;-;-;-;-;5
"130410 TAPAUA";-;-;-;-;2;2;-;2;3;3;-;-;12
"130420 TEFE";-;1;3;1;4;1;2;-;1;-;2;1;16
"130423 TONANTINS";1;-;-;-;-;-;-;-;1;-;-;-;2
"130426 UARINI";-;-;-;1;-;2;-;-;-;-;-;-;3
"130430 URUCARA";-;-;-;-;-;-;-;-;-;2;-;2;4
"Total";162;179;283;277;178;129;127;93;66;93;160;162;1909
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Excluídas duplicidades de dados de 2007 a 2021.
  Dados validados pela Grupo Técnico de Leishmanioses/CGZV/DEDT/SVSA/MS.
  Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  A partir de 2020 foi realizado a incorporação pela CGZV os dados do e-SUS VE ES aos dados do banco nacional.
  Dados de 2007 atualizados em 12/05/2009.
  Dados de 2008 atualizados em 23/02/2010.
  Dados de 2009 atualizados em 03/09/2010.
  Dados de 2010 atualizados em 05/12/2011.
  Dados de 2011 atualizados em 27/08/2012.
  Dados de 2012 atualizados em 30/10/2013.
  Dados de 2013 atualizados em 28/08/2014.
  Dados de 2014 atualizados em 21/08/2015.
  Dados de 2015 atualizados em 14/10/2016.
  Dados de 2016 atualizados em 13/09/2017.
  Dados de 2017 atualizados em 05/09/2018.
  Dados de 2018 atualizados em 01/10/2019.
  Dados de 2019 atualizados em 11/08/2020.
  Dados de 2020 atualizados em 08/10/2021.
  Dados de 2021 atualizados em 14/09/2022.
  Dados de 2022 atualizados em 03/03/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em março de 2023.
 
